Time,Time Delta,floor2_temp,floor3_temp,floor4_temp,floor5_temp,floor6_temp,floor7_temp,floor8_temp
59:30.7,28014.40996,74.73083333333334,73.15384615384616,60.02090909090909,73.18454545454544,72.753,74.41222222222221,72.135
02:05.6,28169.36283,74.72583333333334,73.14846153846153,60.030909090909084,73.18636363636364,72.761,74.38333333333333,72.08666666666667
04:32.6,28316.34623,74.71,73.1676923076923,60.030000000000015,73.2218181818182,72.763,74.36,72.05499999999999
06:35.0,28438.76824,74.72666666666666,73.17461538461538,60.05636363636365,73.20090909090908,72.749,74.37,72.06666666666668
08:52.3,28575.98219,74.72416666666666,73.18461538461538,60.04272727272728,73.22363636363637,72.74499999999999,74.3922222222222,72.04
11:43.7,28747.38299,74.70166666666667,73.17307692307692,60.039090909090916,73.17909090909092,72.746,74.36222222222221,72.05499999999999
13:47.2,28870.90905,74.72333333333333,73.17769230769231,60.05,73.18545454545455,72.736,74.37777777777778,72.04166666666666
16:36.7,29040.44175,74.71083333333334,73.1676923076923,60.028181818181835,73.17727272727272,72.72,74.39777777777778,71.97833333333334
19:28.2,29211.93656,74.72666666666666,73.19307692307692,60.02363636363636,73.17636363636363,72.734,74.41444444444443,71.95666666666666
22:07.7,29371.46368,74.7275,73.17923076923077,60.01545454545453,73.18,72.736,74.3922222222222,71.93833333333333
24:49.7,29533.41095,74.7075,73.1676923076923,60.01454545454544,73.13909090909091,72.727,74.35222222222222,71.95833333333333
27:24.7,29688.44381,74.72916666666666,73.16153846153847,60.00636363636363,73.13454545454546,72.71400000000001,74.32666666666665,71.96666666666665
30:16.2,29859.87262,74.71666666666665,73.15230769230769,60.030909090909084,73.14363636363636,72.729,74.38888888888887,72.01333333333332
33:07.7,30031.44243,74.71166666666666,73.14846153846153,60.031818181818174,73.16090909090909,72.722,74.3922222222222,72.06833333333333
35:58.7,30202.43221,74.71833333333335,73.17692307692306,60.04545454545455,73.16363636363637,72.743,74.38111111111111,72.09499999999998
38:20.3,30344.01031,74.7475,73.19692307692307,60.051818181818184,73.17636363636363,72.739,74.38222222222221,72.09166666666665
41:11.7,30515.39511,74.75000000000001,73.21615384615383,60.01181818181818,73.21,72.75800000000001,74.36222222222221,72.12666666666667
43:21.3,30644.97752,74.74166666666667,73.20384615384616,59.843636363636364,73.19909090909091,72.77399999999999,74.44333333333333,72.14666666666666
46:12.8,30816.50634,74.74666666666667,73.21384615384615,59.83454545454545,73.20000000000002,72.779,74.43111111111111,72.09666666666668
49:08.8,30992.4784,74.77083333333333,73.21615384615384,59.877272727272725,73.20181818181818,72.773,74.44444444444444,71.99333333333334
52:00.6,31164.27223,74.76416666666667,73.21923076923078,59.91181818181818,73.16818181818182,72.75099999999999,74.38888888888887,71.94
54:53.4,31337.08811,74.75583333333334,73.19384615384614,59.92181818181819,73.16363636363636,72.744,74.37111111111112,71.92166666666667
57:20.8,31484.47154,74.72250000000001,73.18923076923078,59.91272727272727,73.14818181818181,72.743,74.44,71.92833333333333
00:12.3,31656.01735,74.73333333333333,73.17999999999999,59.96454545454546,73.15727272727271,72.75000000000001,74.38777777777777,71.93833333333333
00:12.3,31656.01735,74.73333333333333,73.17999999999999,59.96454545454546,73.15727272727271,72.75000000000001,74.38777777777777,71.93833333333333
14:14.7,32498.38868,74.73416666666667,73.14538461538461,59.85090909090909,73.19090909090909,72.736,74.40666666666667,72.05333333333333
17:04.3,32668.00739,74.72083333333332,73.16923076923077,59.787272727272715,73.18909090909091,72.739,74.42000000000002,72.05333333333333
19:56.0,32839.70021,74.71749999999999,73.18999999999998,59.857272727272736,73.21000000000001,72.75,74.41555555555556,72.07499999999999
22:30.8,32994.51606,74.75916666666666,73.20076923076923,59.91545454545454,73.22272727272728,72.75,74.44333333333333,72.06166666666665
25:23.9,33167.61496,74.77666666666667,73.20153846153845,59.92454545454545,73.2590909090909,72.75399999999999,74.4511111111111,72.07333333333332
27:28.0,33291.67806,74.7975,73.19153846153846,59.843636363636364,73.25090909090909,72.76599999999999,74.45555555555556,72.05
29:50.8,33434.52923,74.79333333333334,73.21153846153845,59.75545454545454,73.27363636363636,72.75699999999999,74.45111111111112,72.03833333333333
32:47.1,33610.83731,74.81416666666668,73.20230769230768,59.805454545454545,73.24999999999999,72.761,74.49111111111111,72.07
34:50.8,33734.54539,74.83083333333333,73.22999999999999,59.86272727272728,73.25454545454545,72.769,74.44222222222221,72.08999999999999
37:45.9,33909.6244,74.86833333333333,73.23692307692308,59.96545454545455,73.26818181818182,72.77000000000001,74.49,72.11833333333333
39:50.0,34033.6865,74.87083333333334,73.23384615384614,60.00454545454546,73.26818181818182,72.78299999999999,74.48888888888888,72.11833333333333
42:52.7,34216.46695,74.86166666666666,73.24538461538461,59.855454545454535,73.28818181818183,72.795,74.52666666666667,72.14
44:57.9,34341.63611,74.85583333333334,73.25153846153846,59.785454545454556,73.28909090909089,72.78099999999999,74.53888888888888,72.13333333333334
47:42.3,34506.03652,74.8625,73.25076923076922,59.83363636363636,73.28454545454544,72.777,74.51888888888888,72.12666666666667
50:18.9,34662.61647,74.82833333333333,73.25923076923075,59.87090909090909,73.30909090909091,72.78999999999999,74.51777777777778,72.125
53:29.9,34853.58139,74.8975,73.25461538461536,59.95363636363636,73.30181818181818,72.782,74.51555555555555,72.14666666666666
56:23.9,35027.63835,74.87083333333332,73.25999999999999,59.969090909090916,73.31090909090909,72.801,74.48666666666666,72.14166666666667
58:27.9,35151.62444,74.85666666666667,73.24538461538461,59.83818181818182,73.27999999999999,72.79499999999999,74.48777777777778,72.14833333333333
00:50.9,35294.58062,74.87166666666666,73.25153846153846,59.79818181818182,73.27181818181818,72.80199999999999,74.49333333333333,72.15
04:21.4,35505.13266,74.89,73.2476923076923,59.88545454545454,73.30363636363636,72.81,74.50888888888889,72.14999999999999
07:14.5,35678.19258,74.90166666666666,73.2476923076923,59.91090909090909,73.33363636363636,72.818,74.51555555555555,72.185
10:06.4,35850.14542,74.91083333333334,73.26076923076923,59.96545454545455,73.33727272727272,72.823,74.5,72.18166666666666
12:53.4,36017.10997,74.9075,73.27615384615385,59.87545454545454,73.32727272727271,72.842,74.4711111111111,72.19333333333333
15:26.9,36170.64375,74.91666666666667,73.28230769230768,59.76181818181818,73.30545454545455,72.841,74.48222222222222,72.21166666666666
18:01.9,36325.62961,74.91833333333332,73.29076923076921,59.82181818181818,73.31090909090909,72.852,74.49555555555555,72.195
20:08.5,36452.18885,74.90666666666665,73.31153846153846,59.88545454545454,73.28909090909089,72.85,74.5411111111111,72.19833333333334
22:16.0,36579.73215,74.91416666666667,73.2953846153846,59.96727272727273,73.28272727272726,72.84,74.57111111111111,72.205
24:19.5,36703.25321,74.90583333333332,73.31153846153846,59.875454545454545,73.31727272727272,72.839,74.57222222222222,72.22166666666668
26:33.5,36837.18187,74.89416666666666,73.32615384615384,59.78727272727272,73.33545454545455,72.85499999999999,74.56777777777778,72.225
28:41.4,36965.14619,74.91666666666667,73.33076923076922,59.76454545454546,73.32999999999998,72.871,74.55,72.23166666666667
30:49.5,37093.24152,74.92583333333333,73.32307692307693,59.82454545454546,73.34181818181817,72.862,74.56444444444445,72.23166666666667
32:51.8,37215.54951,74.90749999999998,73.32538461538462,59.901818181818186,73.35272727272726,72.866,74.51444444444445,72.23166666666667
34:59.5,37343.24882,74.91583333333332,73.33384615384615,59.896363636363624,73.33090909090907,72.85999999999999,74.53444444444445,72.29166666666667
37:20.8,37484.5649,74.93749999999999,73.35307692307691,59.892727272727285,73.36909090909089,72.864,74.52777777777777,72.31166666666667
39:24.5,37608.17597,74.88999999999999,73.35692307692307,59.89272727272728,73.36181818181818,72.86800000000001,74.48999999999998,72.28999999999999
41:37.0,37740.67155,74.94166666666668,73.34769230769231,59.79181818181817,73.35636363636364,72.87100000000001,74.52000000000001,72.25833333333333
43:55.6,37879.30448,74.94666666666666,73.35538461538462,59.76818181818182,73.34454545454545,72.869,74.52777777777777,72.22833333333334
45:58.9,38002.63853,74.95833333333333,73.35538461538462,59.690909090909095,73.33999999999997,72.88,74.51777777777778,72.185
48:19.4,38143.12757,74.96249999999999,73.34384615384614,59.68909090909092,73.30454545454545,72.869,74.53444444444446,72.11666666666666
50:23.0,38266.76764,74.98083333333334,73.34076923076923,59.70636363636363,73.3,72.85799999999999,74.54444444444445,72.12833333333334
52:35.6,38399.29722,74.95166666666667,73.33769230769231,59.78636363636363,73.32363636363637,72.857,74.56111111111113,72.165
54:39.2,38522.87729,74.97083333333333,73.3323076923077,59.843636363636364,73.31272727272726,72.87899999999999,74.53777777777779,72.195
56:55.5,38659.21809,74.99916666666665,73.33000000000001,59.893636363636354,73.32272727272726,72.886,74.52333333333334,72.21499999999999
58:59.2,38782.87816,74.98916666666666,73.32923076923076,59.88545454545454,73.35181818181819,72.894,74.52222222222223,72.245
01:11.5,38915.20773,75.00499999999998,73.32,59.79818181818182,73.31636363636362,72.87100000000001,74.52555555555556,72.24
03:23.5,39047.25828,74.96,73.33615384615385,59.7309090909091,73.33090909090907,72.88399999999999,74.52666666666667,72.31833333333333
05:37.5,39181.20694,74.94083333333332,73.33846153846153,59.76454545454544,73.33090909090907,72.88199999999999,74.54666666666668,72.31333333333333
